Symbol,Company,Price,%Change6M,Sector,Exchange,MarketCap,Stage
TGTX,TG Therapeutics Inc.,52.03,78.30705358172355,Healthcare,NASDAQ,7964938752,Stage2
QURE,uniQure N.V.,43.63,76.63967498162536,Healthcare,NASDAQ,3026456832,Stage2
VLO,Valero Energy Corporation,312.9,76.19121797416926,Energy,NYSE,90092503040,Stage2
FLEX,Flex Ltd.,113.75,75.86580003602377,Technology,NASDAQ,41676812288,Stage2
VSAT,Viasat Inc.,76.93,75.84000069754464,Technology,NASDAQ,10597529600,Stage2
CAKE,The Cheesecake Factory Incorporated,101.42,74.75569074447631,Consumer Cyclical,NASDAQ,5039089664,Stage2
SM,SM Energy Company,32.52,74.45006805148871,Energy,NYSE,7796627968,Stage2
CRWD,CrowdStrike Holdings Inc.,190.86,73.96376707838682,Technology,NASDAQ,194344960000,Stage2
INSW,International Seaways Inc.,96.18,73.80533438022289,Energy,NYSE,4761361920,Stage2
CRDO,Credo Technology Group Holding Ltd,206.99,72.54918895706824,Technology,NASDAQ,38599061504,Stage2
GTX,Garrett Motion Inc.,31.15,71.8719059718532,Consumer Cyclical,NASDAQ,5809269760,Stage2
ERAS,Erasca Inc.,18.15,71.06503492776119,Healthcare,NASDAQ,6300362240,Stage2
RELY,Remitly Global Inc.,22.77,70.81770883786378,Technology,NASDAQ,4794475520,Stage2
YOU,Clear Secure Inc.,55.24,70.64756545453389,Technology,NYSE,7383449600,Stage2
CRNX,Crinetics Pharmaceuticals Inc.,83.52,69.24012001107538,Healthcare,NASDAQ,8839776256,Stage2
TVTX,Travere Therapeutics Inc.,55.89,68.87746586540545,Healthcare,NASDAQ,5197373440,Stage2
MBX,MBX Biosciences Inc.,65.93,68.74840240633488,Healthcare,NASDAQ,3138105600,Stage2
LITE,Lumentum Holdings Inc.,713.94,68.61272018339665,Technology,NASDAQ,55544532992,Stage1
CRS,Carpenter Technology Corporation,519.66,66.99408320117715,Industrials,NYSE,25819623424,Stage2
VSH,Vishay Intertechnology Inc.,34.22,66.78185413052243,Technology,NYSE,5248591872,Stage2
MRX,Marex Group Limited,64.92,66.4600521122133,Financial Services,NASDAQ,4669752320,Stage2
KNSA,Kiniksa Pharmaceuticals International plc,74.34,66.42041501038602,Healthcare,NASDAQ,5800305152,Stage2
BLLN,BillionToOne Inc.,138.6,65.86884891460994,Healthcare,NASDAQ,6374974464,Stage2
PTRN,Pattern Group Inc.,23.02,65.61151862965093,Technology,NASDAQ,4568755200,Stage2
CGNX,Cognex Corporation,65.24,64.54849710707363,Technology,NASDAQ,10857204736,Stage2
PTGX,Protagonist Therapeutics Inc.,136.64,64.52738635601574,Healthcare,NASDAQ,8787506176,Stage2
TWLO,Twilio Inc.,197.35,64.45833841959634,Technology,NYSE,29952571392,Stage2
STRL,Sterling Infrastructure Inc.,596.77,62.18779718247993,Industrials,NASDAQ,18312458240,Stage2
ARW,Arrow Electronics Inc.,216.57,62.07904148947346,Technology,NYSE,11074078720,Stage2
OKTA,Okta Inc.,141.93,61.046178485245264,Technology,NASDAQ,24668477440,Stage2
AGX,Argan Inc.,570.43,60.59867390758388,Industrials,NYSE,7996999168,Stage2
TSEM,Tower Semiconductor Ltd.,219.67,60.47191113184902,Technology,NASDAQ,24829573120,Stage2
OII,Oceaneering International Inc.,48.78,59.777260668828994,Energy,NYSE,4855055872,Stage2
SNX,TD SYNNEX Corporation,255.7,59.70585247239954,Technology,NYSE,20445452288,Stage2
VECO,Veeco Instruments Inc.,50.0,58.629439320596624,Technology,NASDAQ,3051674112,Stage2
VSXY,Victorias Secret & Co.,88.68,53.824801314823226,Consumer Cyclical,NYSE,7049325568,Stage2
ARCB,ArcBest Corporation,144.35,45.01463808852325,Industrials,NASDAQ,3226418176,Stage2
